year,month,EPU,date
1949,10,87.2373217864418,1949-10-01
1949,11,40.5456269269636,1949-11-01
1949,12,40.0747425066627,1949-12-01
1950,1,39.4241002651234,1950-01-01
1950,2,200.476593624438,1950-02-01
1950,3,87.4157852094806,1950-03-01
1950,4,173.327102234217,1950-04-01
1950,5,90.3371243623844,1950-05-01
1950,6,668.868176104951,1950-06-01
1950,7,266.844369345541,1950-07-01
1950,8,225.817263171872,1950-08-01
1950,9,186.468369570251,1950-09-01
1950,10,251.652721215202,1950-10-01
1950,11,186.787118919943,1950-11-01
1950,12,152.465881650588,1950-12-01
1951,1,108.007727113552,1951-01-01
1951,2,327.685314614383,1951-02-01
1951,3,213.623898505672,1951-03-01
1951,4,423.839556625181,1951-04-01
1951,5,97.6355602991813,1951-05-01
1951,6,249.765061780406,1951-06-01
1951,7,324.507669933317,1951-07-01
1951,8,111.468008310516,1951-08-01
1951,9,399.289639259679,1951-09-01
1951,10,525.061726504422,1951-10-01
1951,11,611.993559928603,1951-11-01
1951,12,436.672353883866,1951-12-01
1952,1,509.663382677666,1952-01-01
1952,2,358.078359902062,1952-02-01
1952,3,359.516928272694,1952-03-01
1952,4,232.490350145036,1952-04-01
1952,5,55.0480929814444,1952-05-01
1952,6,116.971059305798,1952-06-01
1952,7,104.89964598544,1952-07-01
1952,8,51.5426719661165,1952-08-01
1952,9,293.737807978943,1952-09-01
1952,10,146.018438175724,1952-10-01
1952,11,133.25666410752,1952-11-01
1952,12,312.20132733762,1952-12-01
1953,1,612.737178156923,1953-01-01
1953,2,789.137530815803,1953-02-01
1953,3,262.138843524014,1953-03-01
1953,4,550.400762907658,1953-04-01
1953,5,454.828179581361,1953-05-01
1953,6,552.719997710675,1953-06-01
1953,7,466.469879995292,1953-07-01
1953,8,118.343463431227,1953-08-01
1953,9,200.583664737966,1953-09-01
1953,10,573.214632187274,1953-10-01
1953,11,264.707276351504,1953-11-01
1953,12,319.88588936059,1953-12-01
1954,1,66.0248979237518,1954-01-01
1954,2,210.847541032095,1954-02-01
1954,3,434.728776233145,1954-03-01
1954,4,234.432710577785,1954-04-01
1954,5,160.429719594372,1954-05-01
